_id,Date,DailyCases,CumulativeCases,Deaths
1,20200228,1,3,0
2,20200229,0,3,0
3,20200301,2,5,0
4,20200302,1,6,0
5,20200303,3,9,0
6,20200304,6,15,0
7,20200305,2,17,0
8,20200306,6,23,0
9,20200307,6,29,0
10,20200308,3,32,0
11,20200309,16,48,0
12,20200310,21,69,0
13,20200311,26,95,0
14,20200312,38,133,1
15,20200313,48,181,1
16,20200314,19,200,3
17,20200315,12,212,3
18,20200316,21,233,4
19,20200317,43,276,6
20,20200318,41,317,6
21,20200319,49,366,9
22,20200320,83,449,14
23,20200321,66,515,20
24,20200322,75,590,25
25,20200323,138,728,29
26,20200324,168,896,36
27,20200325,188,1084,46
28,20200326,223,1307,57
29,20200327,274,1581,68
30,20200328,205,1786,97
31,20200329,197,1983,117
32,20200330,320,2303,144
33,20200331,340,2643,182
34,20200401,388,3031,226
35,20200402,351,3382,262
36,20200403,379,3761,319
37,20200404,259,4020,346
38,20200405,225,4245,390
39,20200406,404,4649,452
40,20200407,351,5000,499
41,20200408,343,5343,551
42,20200409,304,5647,614
43,20200410,329,5976,669
44,20200411,185,6161,721
45,20200412,220,6381,767
46,20200413,359,6740,806
47,20200414,346,7086,856
48,20200415,331,7417,897
49,20200416,427,7844,938
50,20200417,394,8238,975
51,20200418,264,8502,1026
52,20200419,159,8661,1070
53,20200420,776,9437,1131
54,20200421,399,9836,1181
55,20200422,340,10176,1225
56,20200423,314,10490,1273
57,20200424,305,10795,1311
58,20200425,184,10979,1358
59,20200426,172,11151,1401
60,20200427,430,11581,1461
61,20200428,380,11961,1501
62,20200429,430,12391,1538
63,20200430,335,12726,1581
64,20200501,368,13094,1629
65,20200502,217,13311,1673
66,20200503,189,13500,1709
67,20200504,330,13830,1749
68,20200505,289,14119,1799
69,20200506,306,14425,1842
70,20200507,290,14715,1881
71,20200508,254,14969,1915
72,20200509,177,15146,1949
73,20200510,150,15296,1976
74,20200511,262,15558,2007
75,20200512,230,15788,2037
76,20200513,198,15986,2079
77,20200514,212,16198,2113
78,20200515,152,16350,2137
79,20200516,103,16453,2165
80,20200517,92,16545,2191
81,20200518,140,16685,2214
82,20200519,182,16867,2242
83,20200520,121,16988,2263
84,20200521,111,17099,2286
85,20200522,92,17191,2302
86,20200523,50,17241,2311
87,20200524,54,17295,2318
88,20200525,97,17392,2332
89,20200526,77,17469,2345
90,20200527,66,17535,2361
91,20200528,55,17590,2377
92,20200529,29,17619,2388
93,20200530,40,17659,2394
94,20200531,23,17682,2400
95,20200601,38,17720,2403
96,20200602,45,17765,2409
97,20200603,35,17800,2417
98,20200604,35,17835,2419
99,20200605,24,17859,2428
100,20200606,22,17881,2431
101,20200607,17,17898,2438
102,20200608,18,17916,2443
103,20200609,27,17943,2444
104,20200610,29,17972,2449
105,20200611,21,17993,2451
106,20200612,30,18023,2453
107,20200613,23,18046,2456
108,20200614,13,18059,2460
109,20200615,21,18080,2463
110,20200616,17,18097,2469
111,20200617,33,18130,2472
112,20200618,14,18144,2475
113,20200619,23,18167,2475
114,20200620,6,18173,2478
115,20200621,9,18182,2480
116,20200622,11,18193,2483
117,20200623,20,18213,2484
118,20200624,8,18221,2485
119,20200625,19,18240,2485
120,20200626,6,18246,2485
121,20200627,4,18250,2489
122,20200628,3,18253,2490
123,20200629,14,18267,2491
124,20200630,8,18275,2491
125,20200701,11,18286,2491
126,20200702,13,18299,2491
127,20200703,6,18305,2492
128,20200704,5,18310,2492
129,20200705,2,18312,2493
130,20200706,8,18320,2493
131,20200707,11,18331,2493
132,20200708,10,18341,2493
133,20200709,8,18349,2493
134,20200710,12,18361,2493
135,20200711,9,18370,2493
136,20200712,2,18372,2493
137,20200713,17,18389,2493
138,20200714,10,18399,2493
139,20200715,16,18415,2493
140,20200716,21,18436,2493
141,20200717,8,18444,2493
142,20200718,13,18457,2493
143,20200719,17,18474,2493
144,20200720,13,18487,2493
145,20200721,19,18506,2493
146,20200722,16,18522,2493
147,20200723,23,18545,2493
148,20200724,11,18556,2493
149,20200725,3,18559,2493
150,20200726,7,18566,2493
151,20200727,13,18579,2493
152,20200728,22,18601,2493
153,20200729,28,18629,2493
154,20200730,27,18656,2493
155,20200731,21,18677,2493
156,20200801,23,18700,2493
157,20200802,19,18719,2493
158,20200803,62,18781,2493
159,20200804,58,18839,2493
160,20200805,67,18906,2493
161,20200806,65,18971,2493
162,20200807,46,19017,2493
163,20200808,27,19044,2493
164,20200809,26,19070,2493
165,20200810,59,19129,2493
166,20200811,63,19192,2493
167,20200812,49,19241,2493
168,20200813,59,19300,2493
169,20200814,50,19350,2493
170,20200815,20,19370,2493
171,20200816,33,19403,2493
172,20200817,75,19478,2493
173,20200818,78,19556,2493
174,20200819,93,19649,2494
175,20200820,141,19790,2494
176,20200821,91,19881,2494
177,20200822,51,19932,2495
178,20200823,67,19999,2496
179,20200824,59,20058,2496
180,20200825,72,20130,2496
181,20200826,98,20228,2496
182,20200827,97,20325,2496
183,20200828,105,20430,2497
184,20200829,94,20524,2497
185,20200830,102,20626,2497
186,20200831,143,20769,2497
187,20200901,199,20968,2497
188,20200902,192,21160,2498
189,20200903,202,21362,2499
190,20200904,170,21532,2500
191,20200905,137,21669,2500
192,20200906,154,21823,2500
193,20200907,167,21990,2500
194,20200908,103,22093,2500
195,20200909,223,22316,2500
196,20200910,231,22547,2500
197,20200911,216,22763,2500
198,20200912,214,22977,2500
199,20200913,178,23155,2501
200,20200914,186,23341,2504
201,20200915,238,23579,2504
202,20200916,280,23859,2504
203,20200917,265,24124,2505
204,20200918,270,24394,2506
205,20200919,236,24630,2506
206,20200920,320,24950,2509
207,20200921,454,25404,2511
208,20200922,497,25901,2513
209,20200923,572,26473,2514
210,20200924,716,27189,2516
211,20200925,576,27765,2517
212,20200926,437,28202,2519
213,20200927,359,28561,2521
214,20200928,625,29186,2524
215,20200929,661,29847,2525
216,20200930,793,30640,2529
217,20201001,777,31417,2533
218,20201002,818,32235,2534
219,20201003,702,32937,2536
220,20201004,744,33681,2539
221,20201005,1099,34780,2539
222,20201006,1192,35972,2542
223,20201007,1250,37222,2550
224,20201008,1171,38393,2561
225,20201009,1096,39489,2567
226,20201010,942,40431,2577
227,20201011,959,41390,2586
228,20201012,1361,42751,2593
229,20201013,1423,44174,2604
230,20201014,1290,45464,2610
231,20201015,1294,46758,2626
232,20201016,1251,48009,2642
233,20201017,862,48871,2651
234,20201018,828,49699,2672
235,20201019,1355,51054,2687
236,20201020,1684,52738,2703
237,20201021,1580,54318,2714
238,20201022,1503,55821,2731
