Date,DailyCases,CumulativeCases,Deaths
20200228,1,1,0
20200229,0,1,0
20200301,2,3,0
20200302,1,4,0
20200303,3,7,0
20200304,6,13,0
20200305,2,15,0
20200306,6,21,0
20200307,6,27,0
20200308,3,30,0
20200309,16,46,0
20200310,21,67,0
20200311,26,93,0
20200312,38,131,1
20200313,48,179,1
20200314,19,198,3
20200315,12,210,3
20200316,21,231,4
20200317,43,274,6
20200318,41,315,6
20200319,49,364,9
20200320,83,447,14
20200321,66,513,20
20200322,75,588,25
20200323,138,726,29
20200324,168,894,36
20200325,188,1082,46
20200326,223,1305,57
20200327,274,1579,68
20200328,205,1784,97
20200329,197,1981,117
20200330,320,2301,144
20200331,340,2641,182
20200401,388,3029,226
20200402,351,3380,262
20200403,379,3759,319
20200404,259,4018,346
20200405,225,4243,390
20200406,404,4647,452
20200407,351,4998,499
20200408,343,5341,551
20200409,304,5645,614
20200410,329,5974,669
20200411,185,6159,721
20200412,220,6379,767
20200413,359,6738,806
20200414,346,7084,856
20200415,331,7415,897
20200416,427,7842,938
20200417,394,8236,975
20200418,264,8500,1026
20200419,159,8659,1070
20200420,776,9435,1131
20200421,399,9834,1181
20200422,340,10174,1225
20200423,314,10488,1273
20200424,305,10793,1311
20200425,184,10977,1358
20200426,172,11149,1401
20200427,430,11579,1461
20200428,380,11959,1501
20200429,430,12389,1538
20200430,335,12724,1581
20200501,368,13092,1629
20200502,217,13309,1673
20200503,189,13498,1709
20200504,330,13828,1749
20200505,289,14117,1799
20200506,306,14423,1842
20200507,290,14713,1881
20200508,254,14967,1915
20200509,177,15144,1949
20200510,150,15294,1976
20200511,262,15556,2007
20200512,230,15786,2037
20200513,198,15984,2079
20200514,212,16196,2113
20200515,152,16348,2137
20200516,103,16451,2165
20200517,92,16543,2191
20200518,140,16683,2214
20200519,182,16865,2242
20200520,121,16986,2263
20200521,111,17097,2286
20200522,92,17189,2302
20200523,50,17239,2311
20200524,54,17293,2318
20200525,97,17390,2332
20200526,77,17467,2345
20200527,66,17533,2361
20200528,55,17588,2377
20200529,29,17617,2388
20200530,40,17657,2394
20200531,23,17680,2400
20200601,38,17718,2403
20200602,45,17763,2409
20200603,35,17798,2417
20200604,35,17833,2419
20200605,24,17857,2428
20200606,22,17879,2431
20200607,17,17896,2438
20200608,18,17914,2443
20200609,27,17941,2444
20200610,29,17970,2449
20200611,21,17991,2451
20200612,30,18021,2453
20200613,23,18044,2456
20200614,13,18057,2460
20200615,21,18078,2463
20200616,17,18095,2469
20200617,33,18128,2472
20200618,14,18142,2475
20200619,23,18165,2475
20200620,6,18171,2478
20200621,9,18180,2480
20200622,11,18191,2483
20200623,20,18211,2484
20200624,8,18219,2485
20200625,19,18238,2485
20200626,6,18244,2485
20200627,4,18248,2489
20200628,3,18251,2490
20200629,14,18265,2491
20200630,8,18273,2491
20200701,11,18284,2491
20200702,13,18297,2491
20200703,6,18303,2492
20200704,5,18308,2492
20200705,2,18310,2493
20200706,8,18318,2493
20200707,11,18329,2493
20200708,10,18339,2493
20200709,8,18347,2493
20200710,12,18359,2493
20200711,9,18368,2493
20200712,2,18370,2493
20200713,17,18387,2493
20200714,10,18397,2493
20200715,16,18413,2493
20200716,21,18434,2493
20200717,8,18442,2493
20200718,13,18455,2493
20200719,17,18472,2493
20200720,13,18485,2493
20200721,19,18504,2493
20200722,16,18520,2493
20200723,23,18543,2493
20200724,11,18554,2493
20200725,3,18557,2493
20200726,7,18564,2493
20200727,13,18577,2493
20200728,22,18599,2493
20200729,28,18627,2493
20200730,27,18654,2493
20200731,21,18675,2493
20200801,23,18698,2493
20200802,19,18717,2493
20200803,62,18779,2493
20200804,58,18837,2493
20200805,67,18904,2493
20200806,65,18969,2493
20200807,46,19015,2493
20200808,27,19042,2493
20200809,26,19068,2493
20200810,59,19127,2493
20200811,63,19190,2493
20200812,49,19239,2493
20200813,59,19298,2493
20200814,50,19348,2493
20200815,20,19368,2493
20200816,33,19401,2493
20200817,75,19476,2493
20200818,78,19554,2493
20200819,93,19647,2494
20200820,141,19788,2494
20200821,91,19879,2494
20200822,51,19930,2495
20200823,67,19997,2496
20200824,59,20056,2496
20200825,72,20128,2496
20200826,98,20226,2496
20200827,97,20323,2496
20200828,105,20428,2497
20200829,94,20522,2497
20200830,102,20624,2497
20200831,143,20767,2497
20200901,199,20966,2497
20200902,192,21158,2498
20200903,202,21360,2499
20200904,170,21530,2500
20200905,137,21667,2500
20200906,154,21821,2500
20200907,167,21988,2500
20200908,103,22091,2500
20200909,223,22314,2500
20200910,231,22545,2500
20200911,216,22761,2500
20200912,214,22975,2500
20200913,178,23153,2501
20200914,186,23339,2504
20200915,238,23577,2504
20200916,280,23857,2504
20200917,265,24122,2505
20200918,270,24392,2506
20200919,236,24628,2506
20200920,320,24948,2509
20200921,454,25402,2511
20200922,497,25899,2513
20200923,572,26471,2514
20200924,716,27187,2516
20200925,576,27763,2517
20200926,437,28200,2519
20200927,359,28559,2521
20200928,625,29184,2524
20200929,661,29845,2525
20200930,793,30638,2529
20201001,777,31415,2533
20201002,818,32233,2534
20201003,702,32935,2536
20201004,744,33679,2539
20201005,1099,34778,2539
20201006,1192,35970,2542
20201007,1250,37220,2550
20201008,1171,38391,2561
20201009,1096,39487,2567
20201010,942,40429,2577
20201011,959,41388,2586
20201012,1361,42749,2593
20201013,1423,44172,2604
20201014,1290,45462,2610
20201015,1294,46756,2626
20201016,1251,48007,2642
20201017,862,48869,2651
20201018,828,49697,2672
20201019,1355,51052,2687
20201020,1684,52736,2703
20201021,1580,54316,2714
20201022,1503,55819,2731
20201023,1287,57106,2748
20201024,954,58060,2767
20201025,939,58999,2788
20201026,1345,60344,2817
20201027,1308,61652,2832
20201028,1268,62920,2857
20201029,1098,64018,2883
20201030,1106,65124,2918
20201031,745,65869,2942
20201101,974,66843,2976
20201102,1478,68321,3003
20201103,1392,69713,3036
20201104,1303,71016,3055
20201105,1294,72310,3092
20201106,1141,73451,3118
20201107,844,74295,3153
20201108,878,75173,3188
20201109,1295,76468,3226
20201110,1290,77758,3259
20201111,1250,79008,3294
20201112,1196,80204,3325
20201113,1062,81266,3360
20201114,919,82185,3398
20201115,812,82997,3431
20201116,1275,84272,3464
20201117,1225,85497,3500
20201118,1115,86612,3522
20201119,981,87593,3548
20201120,864,88457,3577
20201121,763,89220,3610
20201122,706,89926,3646
20201123,1159,91085,3676
20201124,990,92075,3705
20201125,930,93005,3737
20201126,802,93807,3760
20201127,737,94544,3782
20201128,572,95116,3821
20201129,553,95669,3847
20201130,973,96642,3878
20201201,923,97565,3905
20201202,948,98513,3924
20201203,808,99321,3958
20201204,646,99967,3986
20201205,664,100631,4005
20201206,645,101276,4033
20201207,953,102229,4062
20201208,1041,103270,4089
20201209,996,104266,4112
20201210,896,105162,4134
20201211,872,106034,4154
20201212,683,106717,4177
20201213,722,107439,4203
20201214,1102,108541,4234
20201215,1037,109578,4265
20201216,1045,110623,4296
20201217,914,111537,4330
20201218,930,112467,4353
20201219,756,113223,4380
20201220,824,114047,4409
20201221,1323,115370,4433
20201222,1333,116703,4461
20201223,1324,118027,4494
20201224,1022,119049,4530
20201225,521,119570,4564
20201226,1058,120628,4596
20201227,1706,122334,4627
20201228,1825,124159,4657
20201229,3149,127308,4683
20201230,2973,130281,4715
20201231,2379,132660,4758
20210101,1167,133827,4792
20210102,2219,136046,4830
20210103,2223,138269,4871
20210104,2385,140654,4906
20210105,3061,143715,4943
20210106,2560,146275,4991
20210107,2205,148480,5035
20210108,1839,150319,5076
20210109,1497,151816,5113
20210110,1432,153248,5171
20210111,2107,155355,5218
20210112,1987,157342,5267
20210113,1711,159053,5316
20210114,1625,160678,5369
20210115,1551,162229,5423
20210116,1171,163400,5488
20210117,1195,164595,5523
20210118,1730,166325,5568
20210119,1518,167843,5604
20210120,1472,169315,5627
20210121,383,169698,5628
