Date,Number of Cases,Cumulative Cases,7 day average,"Cumulative Rate per 100,000"
2020-02-28,1,1,NA,0
2020-02-29,0,1,NA,0
2020-03-01,2,3,NA,0
2020-03-02,1,4,NA,0.1
2020-03-03,3,7,NA,0.1
2020-03-04,6,13,NA,0.2
2020-03-05,2,15,2.1,0.3
2020-03-06,6,21,2.9,0.4
2020-03-07,6,27,3.7,0.5
2020-03-08,3,30,3.9,0.6
2020-03-09,16,46,6,0.8
2020-03-10,21,67,8.6,1.2
2020-03-11,26,93,11.4,1.7
2020-03-12,38,131,16.6,2.4
2020-03-13,48,179,22.6,3.3
2020-03-14,19,198,24.4,3.6
2020-03-15,12,210,25.7,3.8
2020-03-16,21,231,26.4,4.2
2020-03-17,43,274,29.6,5
2020-03-18,41,315,31.7,5.8
2020-03-19,49,364,33.3,6.7
2020-03-20,83,447,38.3,8.2
2020-03-21,66,513,45,9.4
2020-03-22,75,588,54,10.8
2020-03-23,138,726,70.7,13.3
2020-03-24,167,893,88.4,16.4
2020-03-25,187,1080,109.3,19.8
2020-03-26,223,1303,134.1,23.9
2020-03-27,274,1577,161.4,28.9
2020-03-28,205,1782,181.3,32.6
2020-03-29,197,1979,198.7,36.2
2020-03-30,321,2300,224.9,42.1
2020-03-31,340,2640,249.6,48.3
2020-04-01,384,3024,277.7,55.4
2020-04-02,355,3379,296.6,61.9
2020-04-03,379,3758,311.6,68.8
2020-04-04,259,4017,319.3,73.5
2020-04-05,225,4242,323.3,77.7
2020-04-06,404,4646,335.1,85
2020-04-07,351,4997,336.7,91.5
2020-04-08,343,5340,330.9,97.7
2020-04-09,304,5644,323.6,103.3
2020-04-10,329,5973,316.4,109.3
2020-04-11,185,6158,305.9,112.7
2020-04-12,220,6378,305.1,116.7
2020-04-13,359,6737,298.7,123.3
2020-04-14,346,7083,298,129.7
2020-04-15,331,7414,296.3,135.7
2020-04-16,427,7841,313.9,143.5
2020-04-17,394,8235,323.1,150.7
2020-04-18,264,8499,334.4,155.6
2020-04-19,159,8658,325.7,158.5
2020-04-20,776,9434,385.3,172.7
2020-04-21,399,9833,392.9,180
2020-04-22,340,10173,394.1,186.2
2020-04-23,314,10487,378,191.9
2020-04-24,305,10792,365.3,197.5
2020-04-25,184,10976,353.9,200.9
2020-04-26,172,11148,355.7,204.1
2020-04-27,430,11578,306.3,211.9
2020-04-28,380,11958,303.6,218.9
2020-04-29,430,12388,316.4,226.8
2020-04-30,335,12723,319.4,232.9
2020-05-01,368,13091,328.4,239.6
2020-05-02,217,13308,333.1,243.6
2020-05-03,189,13497,335.6,247.1
2020-05-04,330,13827,321.3,253.1
2020-05-05,289,14116,308.3,258.4
2020-05-06,306,14422,290.6,264
2020-05-07,290,14712,284.1,269.3
2020-05-08,254,14966,267.9,273.9
2020-05-09,177,15143,262.1,277.2
2020-05-10,150,15293,256.6,279.9
2020-05-11,261,15554,246.7,284.7
2020-05-12,231,15785,238.4,288.9
2020-05-13,198,15983,223,292.6
2020-05-14,212,16195,211.9,296.4
2020-05-15,152,16347,197.3,299.2
2020-05-16,103,16450,186.7,301.1
2020-05-17,92,16542,178.4,302.8
2020-05-18,140,16682,161.1,305.4
2020-05-19,182,16864,154.1,308.7
2020-05-20,121,16985,143.1,310.9
2020-05-21,111,17096,128.7,312.9
2020-05-22,92,17188,120.1,314.6
2020-05-23,50,17238,112.6,315.5
2020-05-24,54,17292,107.1,316.5
2020-05-25,97,17389,101,318.3
2020-05-26,77,17466,86,319.7
2020-05-27,66,17532,78.1,320.9
2020-05-28,55,17587,70.1,321.9
2020-05-29,29,17616,61.1,322.4
2020-05-30,40,17656,59.7,323.2
2020-05-31,23,17679,55.3,323.6
2020-06-01,38,17717,46.9,324.3
2020-06-02,45,17762,42.3,325.1
2020-06-03,35,17797,37.9,325.8
2020-06-04,35,17832,35,326.4
2020-06-05,24,17856,34.3,326.8
2020-06-06,22,17878,31.7,327.2
2020-06-07,17,17895,30.9,327.6
2020-06-08,18,17913,28,327.9
2020-06-09,27,17940,25.4,328.4
2020-06-10,29,17969,24.6,328.9
2020-06-11,21,17990,22.6,329.3
2020-06-12,30,18020,23.4,329.8
2020-06-13,23,18043,23.6,330.3
2020-06-14,13,18056,23,330.5
2020-06-15,21,18077,23.4,330.9
2020-06-16,17,18094,22,331.2
2020-06-17,33,18127,22.6,331.8
2020-06-18,14,18141,21.6,332.1
2020-06-19,23,18164,20.6,332.5
2020-06-20,6,18170,18.1,332.6
2020-06-21,9,18179,17.6,332.8
2020-06-22,11,18190,16.1,332.9
2020-06-23,20,18210,16.6,333.3
2020-06-24,8,18218,13,333.5
2020-06-25,19,18237,13.7,333.8
2020-06-26,6,18243,11.3,333.9
2020-06-27,4,18247,11,334
2020-06-28,3,18250,10.1,334.1
2020-06-29,14,18264,10.6,334.3
2020-06-30,8,18272,8.9,334.4
2020-07-01,11,18283,9.3,334.6
2020-07-02,13,18296,8.4,334.9
2020-07-03,6,18302,8.4,335
2020-07-04,5,18307,8.6,335.1
2020-07-05,2,18309,8.4,335.1
2020-07-06,8,18317,7.6,335.3
2020-07-07,11,18328,8,335.5
2020-07-08,10,18338,7.9,335.7
2020-07-09,8,18346,7.1,335.8
2020-07-10,12,18358,8,336
2020-07-11,9,18367,8.6,336.2
2020-07-12,2,18369,8.6,336.2
2020-07-13,17,18386,9.9,336.5
2020-07-14,10,18396,9.7,336.7
2020-07-15,16,18412,10.6,337
2020-07-16,21,18433,12.4,337.4
2020-07-17,8,18441,11.9,337.5
2020-07-18,13,18454,12.4,337.8
2020-07-19,17,18471,14.6,338.1
2020-07-20,13,18484,14,338.3
2020-07-21,19,18503,15.3,338.7
2020-07-22,16,18519,15.3,339
2020-07-23,23,18542,15.6,339.4
2020-07-24,11,18553,16,339.6
2020-07-25,3,18556,14.6,339.6
2020-07-26,7,18563,13.1,339.8
2020-07-27,13,18576,13.1,340
2020-07-28,22,18598,13.6,340.4
2020-07-29,28,18626,15.3,340.9
2020-07-30,27,18653,15.9,341.4
2020-07-31,21,18674,17.3,341.8
2020-08-01,23,18697,20.1,342.2
2020-08-02,19,18716,21.9,342.6
2020-08-03,62,18778,28.9,343.7
2020-08-04,58,18836,34,344.8
2020-08-05,67,18903,39.6,346
2020-08-06,65,18968,45,347.2
2020-08-07,46,19014,48.6,348
2020-08-08,27,19041,49.1,348.5
2020-08-09,26,19067,50.1,349
2020-08-10,59,19126,49.7,350.1
2020-08-11,63,19189,50.4,351.2
2020-08-12,49,19238,47.9,352.1
2020-08-13,59,19297,47,353.2
2020-08-14,50,19347,47.6,354.1
2020-08-15,20,19367,46.6,354.5
2020-08-16,33,19400,47.6,355.1
2020-08-17,75,19475,49.9,356.5
2020-08-18,78,19553,52,357.9
2020-08-19,93,19646,58.3,359.6
2020-08-20,141,19787,70,362.2
2020-08-21,91,19878,75.9,363.9
2020-08-22,51,19929,80.3,364.8
2020-08-23,67,19996,85.1,366
2020-08-24,59,20055,82.9,367.1
2020-08-25,72,20127,82,368.4
2020-08-26,98,20225,82.7,370.2
2020-08-27,97,20322,76.4,372
2020-08-28,105,20427,78.4,373.9
2020-08-29,94,20521,84.6,375.6
2020-08-30,102,20623,89.6,377.5
2020-08-31,143,20766,101.6,380.1
2020-09-01,199,20965,119.7,383.7
2020-09-02,192,21157,133.1,387.3
2020-09-03,202,21359,148.1,390.9
2020-09-04,170,21529,157.4,394.1
2020-09-05,137,21666,163.6,396.6
2020-09-06,154,21820,171,399.4
2020-09-07,167,21987,174.4,402.4
2020-09-08,103,22090,160.7,404.3
2020-09-09,223,22313,165.1,408.4
2020-09-10,231,22544,169.3,412.6
2020-09-11,216,22760,175.9,416.6
2020-09-12,214,22974,186.9,420.5
2020-09-13,178,23152,190.3,423.8
2020-09-14,186,23338,193,427.2
2020-09-15,238,23576,212.3,431.5
2020-09-16,280,23856,220.4,436.7
2020-09-17,265,24121,225.3,441.5
2020-09-18,270,24391,233,446.4
2020-09-19,236,24627,236.1,450.8
2020-09-20,320,24947,256.4,456.6
2020-09-21,454,25401,294.7,464.9
2020-09-22,497,25898,331.7,474
2020-09-23,572,26470,373.4,484.5
2020-09-24,716,27186,437.9,497.6
2020-09-25,576,27762,481.6,508.1
2020-09-26,437,28199,510.3,516.1
2020-09-27,359,28558,515.9,522.7
2020-09-28,625,29183,540.3,534.2
2020-09-29,661,29844,563.7,546.3
2020-09-30,793,30637,595.3,560.8
2020-10-01,777,31414,604,575
2020-10-02,818,32232,638.6,590
2020-10-03,702,32934,676.4,602.8
2020-10-04,744,33678,731.4,616.4
2020-10-05,1099,34777,799.1,636.6
2020-10-06,1192,35969,875,658.4
2020-10-07,1250,37219,940.3,681.2
2020-10-08,1171,38390,996.6,702.7
2020-10-09,1096,39486,1036.3,722.8
2020-10-10,942,40428,1070.6,740
2020-10-11,959,41387,1101.3,757.5
2020-10-12,1361,42748,1138.7,782.5
2020-10-13,1423,44171,1171.7,808.5
2020-10-14,1290,45461,1177.4,832.1
2020-10-15,1294,46755,1195,855.8
2020-10-16,1251,48006,1217.1,878.7
2020-10-17,862,48868,1205.7,894.5
2020-10-18,828,49696,1187,909.6
2020-10-19,1355,51051,1186.1,934.4
2020-10-20,1684,52735,1223.4,965.3
2020-10-21,1580,54315,1264.9,994.2
2020-10-22,1503,55818,1294.7,1021.7
2020-10-23,1287,57105,1299.9,1045.2
2020-10-24,954,58059,1313,1062.7
2020-10-25,939,58998,1328.9,1079.9
2020-10-26,1345,60343,1327.4,1104.5
2020-10-27,1308,61651,1273.7,1128.5
2020-10-28,1268,62919,1229.1,1151.7
2020-10-29,1098,64017,1171.3,1171.8
2020-10-30,1106,65123,1145.4,1192
2020-10-31,745,65868,1115.6,1205.6
2020-11-01,974,66842,1120.6,1223.5
2020-11-02,1478,68320,1139.6,1250.5
2020-11-03,1392,69712,1151.6,1276
2020-11-04,1303,71015,1156.6,1299.9
2020-11-05,1294,72309,1184.6,1323.5
2020-11-06,1141,73450,1189.6,1344.4
2020-11-07,844,74294,1203.7,1359.9
2020-11-08,878,75172,1190,1375.9
2020-11-09,1295,76467,1163.9,1399.7
2020-11-10,1290,77757,1149.3,1423.3
2020-11-11,1250,79007,1141.7,1446.1
2020-11-12,1196,80203,1127.7,1468
2020-11-13,1062,81265,1116.4,1487.5
2020-11-14,919,82184,1127.1,1504.3
2020-11-15,812,82996,1117.7,1519.2
2020-11-16,1275,84271,1114.9,1542.5
2020-11-17,1225,85496,1105.6,1564.9
2020-11-18,1115,86611,1086.3,1585.3
2020-11-19,981,87592,1055.6,1603.3
2020-11-20,864,88456,1027.3,1619.1
2020-11-21,763,89219,1005,1633.1
2020-11-22,706,89925,989.9,1646
2020-11-23,1159,91084,973.3,1667.2
2020-11-24,990,92074,939.7,1685.3
2020-11-25,930,93004,913.3,1702.3
2020-11-26,802,93806,887.7,1717
2020-11-27,737,94543,869.6,1730.5
2020-11-28,572,95115,842.3,1741
2020-11-29,553,95668,820.4,1751.1
2020-11-30,973,96641,793.9,1768.9
2020-12-01,923,97564,784.3,1785.8
2020-12-02,947,98511,786.7,1803.1
2020-12-03,807,99318,787.4,1817.9
2020-12-04,646,99964,774.4,1829.7
2020-12-05,664,100628,787.6,1841.9
2020-12-06,645,101273,800.7,1853.7
2020-12-07,953,102226,797.9,1871.1
2020-12-08,1041,103267,814.7,1890.2
2020-12-09,998,104265,822,1908.5
2020-12-10,896,105161,834.7,1924.9
2020-12-11,871,106032,866.9,1940.8
2020-12-12,682,106714,869.4,1953.3
2020-12-13,722,107436,880.4,1966.5
2020-12-14,1102,108538,901.7,1986.7
2020-12-15,1037,109575,901.1,2005.7
2020-12-16,1045,110620,907.9,2024.8
2020-12-17,914,111534,910.4,2041.5
2020-12-18,930,112464,918.9,2058.5
2020-12-19,756,113220,929.4,2072.4
2020-12-20,824,114044,944,2087.5
2020-12-21,1324,115368,975.7,2111.7
2020-12-22,1333,116701,1018,2136.1
2020-12-23,1325,118026,1058,2160.3
2020-12-24,1021,119047,1073.3,2179
2020-12-25,521,119568,1014.9,2188.6
2020-12-26,1057,120625,1057.9,2207.9
2020-12-27,1705,122330,1183.7,2239.1
2020-12-28,1823,124153,1255,2272.5
2020-12-29,3138,127291,1512.9,2329.9
2020-12-30,2957,130248,1746,2384.1
2020-12-31,2312,132560,1930.4,2426.4
2021-01-01,1138,133698,2018.6,2447.2
2021-01-02,2101,135799,2167.7,2485.7
2021-01-03,698,136497,2023.9,2498.4
